equipmentnumber,type,description,geocoordX,geocoordY,state,stateExplanation,stationnumber,datetime
10560988,ELEVATOR,,6.9157222,50.9514596,UNKNOWN,monitoring disrupted,3330,2019-07-07T15:13:10Z
10500442,ELEVATOR,,7.1595619,50.6837783,ACTIVE,available,768,2019-07-07T15:13:10Z
10500443,ELEVATOR,,7.159708,50.6838665,ACTIVE,available,768,2019-07-07T15:13:10Z
10560987,ELEVATOR,,,,ACTIVE,available,4221,2019-07-07T15:13:10Z
10500444,ELEVATOR,,7.15954,50.6837,ACTIVE,available,768,2019-07-07T15:13:10Z
10440292,ESCALATOR,zu Gleis 3/4 (S-Bahn),13.41924785,52.5143059,ACTIVE,available,3032,2019-07-07T15:13:10Z
10560989,ELEVATOR,,,,ACTIVE,available,1392,2019-07-07T15:13:10Z
10440293,ESCALATOR,zu Gleis 3/4 (S-Bahn),13.4186267,52.5145135,ACTIVE,available,3032,2019-07-07T15:13:10Z
10312527,ESCALATOR,zu Gleis 13/14 (S-Bahn),13.3767715,52.50987795,ACTIVE,available,5016,2019-07-07T15:13:10Z
10312526,ESCALATOR,zu Gleis 11/12 (S-Bahn),13.3765224,52.5098116,ACTIVE,available,5016,2019-07-07T15:13:10Z
10356106,ELEVATOR,zu Gleis 3/4 Abschnitt B/C,6.7757009,51.4297093,ACTIVE,available,1374,2019-07-07T15:13:10Z
10501768,ELEVATOR,zu Gleis 5/6,12.6624214,51.8675193,ACTIVE,available,3863,2019-07-07T15:13:10Z
10170199,ESCALATOR,zu Gleis 2/3,8.25856,50.00143,ACTIVE,available,3898,2019-07-07T15:13:10Z
10560995,ESCALATOR,,6.97703,50.94092,ACTIVE,available,3329,2019-07-07T15:13:10Z
10560994,ESCALATOR,,6.97699,50.94049,ACTIVE,available,3329,2019-07-07T15:13:10Z
10560996,ESCALATOR,,6.97692,50.94107,ACTIVE,available,3329,2019-07-07T15:13:10Z
10560991,ESCALATOR,,6.9768387,50.9407093,ACTIVE,available,3329,2019-07-07T15:13:10Z
10091721,ELEVATOR,zu Gleis 1,10.4196923,53.2496204,ACTIVE,available,3855,2019-07-07T15:13:10Z
10568001,ELEVATOR,zu Gleis 2/3,11.06054,49.686438,ACTIVE,available,3163,2019-07-07T15:13:10Z
